id,school_name,longitude,latitude
100125,San Marcelino Elementary School,120.7617323,18.0349532
100126,Sulquiano Elementary School,120.6837097,18.0893894
100127,Ver Elementary School,120.715073,18.0432964
100128,Bacsil Elementary School,120.6675142,18.1019251
100129,Capasan Elementary School,120.6742349,18.1189904
100130,Dingras West Central Elementary School,120.6990842,18.1042287
100131,Espiritu Elementary School,120.6674446,18.0913842
100132,Hilaria Salvatierra Memorial Elementary School,120.7201003,18.0943167
100133,Mandaloque Elementary School,120.699265,18.123903
100134,Peralta Elementary School,120.694288,18.1100463
100135,San Esteban Elementary School,120.720966,18.12805
100136,Sagpatan Elementary School,120.7183807,18.1096022
100137,San Marcos Elementary School,120.7357365,18.1181123
100138,Suyo Elementary School,120.68355,18.13079
100139,Acnam–Caray Elementary School,120.68628,17.93323
100140,Barangobong Elementary School,120.575457,17.841641
100141,Biding Elementary School,120.68614,18.04566
100142,Cabittauran Elementary School,120.7064626,17.9444004
100143,Cacafean Elementary School,120.7494897,18.005259
100144,Elizabeth Elementary School,120.73445,17.99194
100145,Escoda Elementary School,120.70162,18.01745
100146,F. Daquioag Memorial Elementary School,120.67759,18.02787
100147,Ferdinand Elementary School,120.7306354,17.9816823
100148,Fortuna Elementary School,120.67402,18.01468
100150,Imelda Elementary School,120.6704043,18.0590336
100151,Mabuti Elementary School,120.66915,18.07173
100152,Marcos Central School,120.6746596,18.0439409
100153,Naguilian Elementary School,120.63301,17.906495
100154,Nueva Era Central Elementary School,120.6629997,17.9166995
100155,Pacifico Elementary School,120.709192,18.0306452
100156,Santiago Elementary School,120.7214923,17.9830974
100157,Santo Nino Elementary School,120.71476,17.95577
100158,Tabucbuc Elementary School,120.698602,18.007934
100160,Adams Central Elementary School,120.9016645,18.4623788
100161,Aggasi Elementary School,120.8131154,18.5494606
100163,Bucarot Primary School,120.934656,18.392135
100164,Burayoc Elementary School,120.7928699,18.5778468
100165,Caparispisan Elementary School,120.8037215,18.604537
100166,Caunayan Elementary School,120.83361,18.61196
100167,Dampig Elementary School,120.8196936,18.5397935
100168,Gamaban Elementary School,120.8680671,18.6091811
100169,Luzong Elementary School,120.8095957,18.5723686
100170,Luzuyo Primary School,120.7965414,18.5752637
100171,Pagudpud Central Elementary School,120.7873579,18.5643917
100172,Pagudpud South Central Elementary School,120.7847707,18.5582037
100173,Pancian Elementary School,120.92545,18.55288
100174,Pasaleng Elementary School,120.9362501,18.5488605
100175,Saguigui Elementary School,120.8143314,18.5625243
100176,Saud Elementary School,120.7889961,18.5916704
100177,Subec Elementary School,120.816225,18.577136
100179,Tarrag Elementary School,120.7906106,18.545386
100180,Bacsil Elementary School,120.4996,18.08891
100181,Evangelista Elementary School,120.5180366,18.0543152
100182,Banquerohan Resettlement Elementary School,123.757712,13.049342
